story,token,surprisal,label
The fox story.txt,Ġfruit,4.323984946576806,high_surprisal
The fox story.txt,Ġt,9.24976111568793,high_surprisal
The fox story.txt,aunted,8.43915315543594,high_surprisal
The fox story.txt,Ġhim,0.7720439204521766,high_surprisal
The fox story.txt,",",1.552831244277707,high_surprisal
The fox story.txt,Ġas,6.078429063363124,high_surprisal
The fox story.txt,Ġthough,2.8747580777057773,high_surprisal
The fox story.txt,Ġheld,12.814589768469347,high_surprisal
The fox story.txt,Ġby,4.4272642743815105,high_surprisal
The fox story.txt,Ġsome,2.8200104480700072,high_surprisal
The fox story.txt,Ġinvisible,4.674251660654309,high_surprisal
The fox story.txt,Ġforce,1.040272161099304,high_surprisal
The fox story.txt,.,1.0738717088323688,high_surprisal
The fox story.txt,Ġfox,15.96157711750373,low_surprisal
The fox story.txt,Ġtried,10.38359440713494,low_surprisal
The fox story.txt,Ġagain,6.392677362870778,low_surprisal
The fox story.txt,.,2.0615596747794744,low_surprisal
The fox story.txt,ĠThis,4.373189439733223,low_surprisal
The fox story.txt,Ġtime,0.024694455536493683,low_surprisal
The fox story.txt,",",2.0826227301067637,low_surprisal
The fox story.txt,Ġhe,2.7368672234437117,low_surprisal
The fox story.txt,Ġjumped,7.439526167860929,low_surprisal
The fox story.txt,Ġhigher,8.46102370176788,low_surprisal
The fox story.txt,",",2.327270381992135,low_surprisal
The fox story.txt,Ġstretching,12.912341314153675,low_surprisal
The fox story.txt,Ġhis,1.3741643185576675,low_surprisal
The fox story.txt,Ġpaws,7.040133251247382,low_surprisal
The fox story.txt,Ġtoward,8.228565037042122,low_surprisal
The fox story.txt,Ġthe,0.7462279515897434,low_surprisal
The fox story.txt,Ġvine,12.785430225548405,low_surprisal
The fox story.txt,.,1.339295051750558,low_surprisal
The fox story.txt,ĠBut,5.58666363776013,low_surprisal
The fox story.txt,Ġstill,9.02986136343968,low_surprisal
The fox story.txt,",",1.2486173502707476,low_surprisal
The fox story.txt,Ġhe,2.0711111089219156,low_surprisal
The fox story.txt,Ġcould,3.6125862155554183,low_surprisal
The fox story.txt,Ġnot,0.8647157892107146,low_surprisal
The fox story.txt,Ġreach,5.20982175650157,low_surprisal
The fox story.txt,Ġthe,1.4394824368125498,low_surprisal
The fox story.txt,Ġgrapes,8.514312421558532,low_surprisal
The fox story.txt,.,0.8117087765770106,low_surprisal
The fox story.txt,ĠHe,2.3193711313146657,low_surprisal
The fox story.txt,Ġtried,4.673366025532676,low_surprisal
The fox story.txt,Ġone,8.38571993785228,low_surprisal
